iter	MultiClass
283	0.4577304921
284	0.4576013925
285	0.457518029
286	0.4574452445
287	0.4573005946
288	0.4571800604
289	0.457095771
290	0.4569999311
291	0.4569240902
292	0.4568399261
293	0.4567428258
294	0.4567024154
295	0.4565612363
296	0.456397565
297	0.4562534364
298	0.4561568305
299	0.4560776102
300	0.4559875099
301	0.4558067638
302	0.4557394183
303	0.4556833047
304	0.4555295983
305	0.4554344853
306	0.4552561656
307	0.4551771317
308	0.4551079522
309	0.4550202051
310	0.4548829699
311	0.4547706687
312	0.4546298947
313	0.4545017922
314	0.4544691883
315	0.4544309052
316	0.4543019628
317	0.4541922519
318	0.4541574904
319	0.4540787316
320	0.454028205
321	0.4538965247
322	0.4537596997
323	0.4532502215
324	0.4530943315
325	0.4530125861
326	0.4529162975
327	0.452680993
328	0.4526003151
329	0.4525148131
330	0.4524332739
331	0.4523062134
332	0.4520860006
333	0.4519757605
334	0.451903059
335	0.4517873215
336	0.4517049974
337	0.4516058937
338	0.4514491601
339	0.4513597862
340	0.45123425
341	0.451127875
342	0.4509908371
343	0.4509020664
344	0.4508575919
345	0.4507021088
346	0.4505738018
347	0.4504995419
348	0.4503783783
349	0.4502105598
350	0.450051241
351	0.4499451715
352	0.4498508319
353	0.4497917364
354	0.4496611557
355	0.4495919734
356	0.4495132777
357	0.4493430265
358	0.4491899217
359	0.4490866861
360	0.4489887116
361	0.4487908426
362	0.4486982446
363	0.4485767765
364	0.4484704626
365	0.4482857152
366	0.4482254409
367	0.4481439586
368	0.4480712307
369	0.4479555762
370	0.4477728931
371	0.4476699681
372	0.4473990451
373	0.447329977
374	0.4472652984
375	0.4471930633
376	0.4471016651
377	0.4469988984
378	0.4468613512
379	0.4467611666
380	0.4464846768
381	0.4463820255
382	0.4461421467
383	0.4460616986
384	0.4459720963
385	0.4458559016
386	0.4457216587
387	0.4456411638
388	0.4455675506
389	0.4455288719
390	0.4454496851
391	0.4452757977
392	0.4451170563
393	0.4450125983
394	0.4448925185
395	0.4447690487
396	0.4446643207
397	0.4444861171
398	0.4444087632
399	0.4443453709
400	0.4442583447
401	0.4441853212
402	0.4440683355
403	0.4439469493
404	0.4438671717
405	0.4437602221
406	0.4436489124
407	0.4435000394
408	0.4432806694
409	0.4431648249
410	0.4430970208
411	0.4429970695
412	0.4428930841
413	0.442847383
414	0.4427529991
415	0.44260727
416	0.4425129987
417	0.4424608899
418	0.4423829885
419	0.4422278336
420	0.4421620114
421	0.4420487959
422	0.4419573515
423	0.4418456212
424	0.4417859836
425	0.4416914691
426	0.4415948108
427	0.4414407982
428	0.4413335505
429	0.4412229865
430	0.4410898184
431	0.4409682802
432	0.4408888258
433	0.4408314529
434	0.4407263384
435	0.440626115
436	0.4404705428
437	0.4403983778
438	0.4402179062
439	0.4401811617
440	0.4400737226
441	0.4399423601
442	0.4398909588
443	0.4397629041
444	0.4396411818
445	0.4395305468
446	0.4393845759
447	0.4392633206
448	0.4391910432
449	0.4391174055
450	0.4390194667
451	0.4389320344
452	0.4387764824
453	0.4387139156
454	0.4386304888
455	0.4385454497
456	0.4384824739
457	0.4384078643
458	0.4382532183
459	0.4382032593
460	0.438089392
461	0.4378232364
462	0.4377816422
463	0.4376758337
464	0.4375826791
465	0.4374634693
466	0.437414242
467	0.4373354178
468	0.4372487173
469	0.437132865
470	0.437028071
471	0.4369796995
472	0.4369076065
473	0.4367579277
474	0.4366306168
475	0.4365908791
476	0.4365179622
477	0.4363783014
478	0.4362441893
479	0.436063775
480	0.4359347748
481	0.4358136349
482	0.4356983641
483	0.4356329571
484	0.435516111
485	0.4353608364
486	0.4353008185
487	0.4351249227
488	0.4350696914
489	0.4349839206
490	0.4349222859
491	0.4348149255
492	0.4347107736
493	0.4346481582
494	0.4345144456
495	0.4344118432
496	0.4343464285
497	0.4342219129
498	0.4341827592
499	0.4340539217
500	0.4339898939
501	0.4338039612
502	0.4337622893
503	0.4335906254
504	0.4334379221
505	0.4333673682
506	0.4333047197
507	0.4331999337
508	0.4330647093
509	0.4329608455
510	0.4328550889
511	0.4327532372
512	0.4326899953
513	0.4325448523
514	0.4324623621
515	0.4324154815
516	0.4322619136
517	0.432125378
518	0.4320235303
519	0.4319218044
520	0.4318208523
521	0.4317340154
522	0.4316593664
523	0.4315683745
524	0.4314457391
525	0.4313844965
526	0.431258673
527	0.4311744432
528	0.431052702
529	0.4309166539
530	0.4308185247
531	0.43078627
532	0.4306791173
533	0.4305578939
534	0.4304581348
535	0.430340725
536	0.4302662139
537	0.4301704517
538	0.4301210743
539	0.4300107355
540	0.4299418
541	0.4297351471
542	0.4295916086
543	0.4294970174
544	0.4293798147
545	0.4292304951
546	0.429131867
547	0.4290589635
548	0.4289692969
549	0.4288777803
550	0.4287909809
551	0.4287568907
552	0.4287254486
553	0.4285937322
554	0.4284853807
555	0.4283910109
556	0.4283153264
557	0.4281082211
558	0.4280612496
559	0.4279746374
560	0.4278680211
561	0.4277410211
562	0.4276117794
563	0.4274353149
564	0.4273497986
565	0.4272727655
566	0.4271866029
567	0.4270713882
568	0.4269575449
569	0.4268063336
570	0.4266249328
571	0.4265776969
572	0.4265175801
573	0.426435189
574	0.4263115212
575	0.4262928049
576	0.4261951839
577	0.426134464
578	0.4260491659
579	0.4258438832
580	0.4257882451
581	0.4256929702
582	0.4256025908
583	0.4255575977
584	0.4254635847
585	0.4254004394
586	0.4252190303
587	0.4251615789
588	0.4251306268
589	0.4250684221
590	0.4249538466
591	0.4248485591
592	0.4247206649
593	0.4246651252
594	0.424542414
595	0.4244619466
596	0.4244163737
597	0.4243250876
598	0.4242098541
599	0.4240837019
600	0.4239932442
601	0.4238601884
602	0.4238092124
603	0.4237263032
604	0.42365332
605	0.4235706944
606	0.4234336155
607	0.4233580843
608	0.4233066871
609	0.423160893
610	0.4230910324
611	0.4230137599
612	0.4229510483
613	0.4227998788
614	0.422719059
615	0.4226071288
616	0.4224952377
617	0.4223156445
618	0.4222355151
619	0.4221820994
620	0.422109459
621	0.4220200327
622	0.4219201954
623	0.4218015872
624	0.4217316819
625	0.4217026024
626	0.4215948012
627	0.4214905878
628	0.4213786308
629	0.4212417632
630	0.421139238
631	0.4209930883
632	0.4209265925
633	0.4208257534
634	0.4207306432
635	0.4205777713
636	0.4205195438
637	0.4204369957
638	0.4203559311
639	0.4202208533
640	0.4201704506
641	0.4201241222
642	0.4200788558
643	0.420012615
644	0.4199449534
645	0.4198618747
646	0.4198143901
647	0.4197166253
648	0.4196117339
649	0.4195071059
650	0.4194475923
651	0.4193428754
652	0.4192567474
653	0.419149131
654	0.4190665084
655	0.4190012699
656	0.4189200368
657	0.4188294144
658	0.4187779965
659	0.4186865748
660	0.4186069192
661	0.4185277684
662	0.418436481
663	0.4183011273
664	0.4182756048
665	0.4181133536
666	0.4180641414
667	0.4179956099
668	0.4178972519
669	0.417830821
670	0.4177111684
671	0.417659611
672	0.4175995863
673	0.4175665396
674	0.4174743346
675	0.4173745854
676	0.4172478861
677	0.417156025
678	0.4170898869
679	0.4169796925
680	0.4169024843
681	0.416759503
682	0.4166746785
683	0.4166044205
684	0.4165113971
685	0.4164279947
686	0.416355814
687	0.4162628684
688	0.4162081806
689	0.4161148811
690	0.4159984552
691	0.4159193549
692	0.4158637026
693	0.4157623439
694	0.4154256011
695	0.4153479949
696	0.4152877037
697	0.4152392595
698	0.415147502
699	0.4149880841
700	0.4149637811
701	0.4148689248
702	0.4147667181
703	0.4147063004
704	0.4146711987
705	0.4145946696
706	0.4144971437
707	0.4144544677
708	0.4143086128
709	0.4142649501
710	0.4141391883
711	0.414000179
712	0.4139389209
713	0.4138637338
714	0.4137882375
715	0.4137448652
716	0.4136765146
717	0.4136201004
718	0.4135134774
719	0.4134836446
720	0.4133639006
721	0.4132769418
722	0.4131656001
723	0.4130439677
724	0.4129340308
725	0.4128711202
726	0.4128127235
727	0.4127308398
728	0.4126444598
729	0.4125753153
730	0.4125092478
731	0.4123821147
732	0.4122112616
733	0.4121148098
734	0.4120083538
735	0.4118794528
736	0.4118346149
737	0.4117635577
738	0.4116690594
739	0.4115481791
740	0.4114670574
741	0.411407918
742	0.4113268426
743	0.4112569126
744	0.4112065815
745	0.4111193077
746	0.411068777
747	0.4109847527
748	0.4109050537
749	0.4107845636
750	0.4106763583
751	0.4106341025
752	0.4105903481
753	0.4104848508
754	0.4103525297
755	0.4102726132
756	0.4101781477
757	0.410149992
758	0.4100521791
759	0.4100185873
760	0.4099253939
761	0.4097715053
762	0.40967383
763	0.4096034305
764	0.4095404157
765	0.409487558
766	0.4094172168
767	0.4092734051
768	0.4091727599
769	0.4090472534
770	0.408937419
771	0.4088394444
772	0.4086533805
773	0.4085558717
774	0.4084461864
775	0.4083686298
776	0.4082146259
777	0.4080731628
778	0.4079652896
779	0.4078702836
780	0.407715592
781	0.4076424092
782	0.4075656798
783	0.4074817189
784	0.4074187506
785	0.4073237339
786	0.4072029767
787	0.4071111111
788	0.4069826679
789	0.4068892165
790	0.40680063
791	0.4067127961
792	0.406637808
793	0.4065486125
794	0.4064791014
795	0.4063448586
796	0.4062459319
797	0.4061838575
798	0.4060924741
799	0.4060208309
800	0.4059273591
801	0.4058745474
802	0.4057680549
803	0.4056559271
804	0.4056071612
805	0.4055326377
806	0.4054218354
807	0.4053155726
808	0.4052175662
809	0.4051059782
810	0.4050660173
811	0.4050103004
812	0.4049232578
813	0.4048134331
814	0.4047242751
815	0.4046219264
816	0.404563252
817	0.4044826302
818	0.4043872982
819	0.4042426409
820	0.4041547498
821	0.404094301
822	0.4040370394
823	0.4039300368
824	0.4038036348
825	0.4036886243
826	0.4035994429
827	0.4035197452
828	0.4034820763
829	0.403397698
830	0.4033458258
831	0.4032794771
832	0.4032013923
833	0.4031703072
834	0.4031004876
835	0.4029787835
836	0.4028514917
837	0.4027905842
838	0.4027615124
839	0.4027017885
840	0.4026119751
841	0.4025151654
842	0.4024517474
843	0.4023434418
844	0.4022664691
845	0.4021751812
846	0.4020706687
847	0.4019898453
848	0.4019405716
849	0.4018189326
850	0.4017119775
851	0.4016692308
852	0.4016068145
853	0.4015055548
854	0.4013622469
855	0.401286244
856	0.4012108181
857	0.4011348327
858	0.4010277565
859	0.4009318001
860	0.4008649314
861	0.4008279918
862	0.4007744879
863	0.4007316839
864	0.4005890964
865	0.4005464966
866	0.4004689652
867	0.4003365696
868	0.4002899838
869	0.4002221745
870	0.4001239221
871	0.4000439885
872	0.3999869359
873	0.3998898804
874	0.3997516564
875	0.3996961185
876	0.3996060167
877	0.399511701
878	0.3994252506
879	0.3993224491
880	0.3991675802
881	0.3991180364
882	0.3990611666
883	0.3989765282
884	0.3988950093
885	0.3987742145
886	0.3986739986
887	0.3985831898
888	0.3985272051
889	0.3984787847
890	0.3984114443
891	0.398351506
892	0.3982657922
893	0.3982071283
894	0.3981004895
895	0.3980031954
896	0.3979677099
897	0.3978628951
898	0.397767357
899	0.3977013573
900	0.3976138474
901	0.3975715597
902	0.3974667821
903	0.3973659524
904	0.3973077702
905	0.3971178963
906	0.3970306027
907	0.3969899668
908	0.3969498418
909	0.3968308781
910	0.3967491948
911	0.3967149087
912	0.3966672136
913	0.3966348024
914	0.3965561056
915	0.396451027
916	0.3963286231
917	0.3962476599
918	0.3961933851
919	0.3961625591
920	0.3960779288
921	0.3960204098
922	0.3959615783
923	0.3958925984
924	0.3958104039
925	0.3957375663
926	0.3956328694
927	0.3955584787
928	0.3954460815
929	0.395343852
930	0.3952104391
931	0.3950878094
932	0.3950192489
933	0.3949117144
934	0.3948419908
935	0.394777981
936	0.3947145195
937	0.3946144347
938	0.394569677
939	0.3945306625
940	0.3944187328
941	0.3943454885
942	0.3942823403
943	0.3942002289
944	0.3941139646
945	0.3939991725
946	0.3939184622
947	0.3938759603
948	0.3937860847
949	0.3936620735
950	0.3935974334
951	0.3935278678
952	0.3934442288
953	0.3933635787
954	0.393295889
955	0.3932318389
956	0.3931274355
957	0.3930594007
958	0.3930058181
959	0.3929277245
960	0.3928629625
961	0.3928072542
962	0.3927351828
963	0.3926724163
964	0.3926260749
965	0.3925987602
966	0.3925183655
967	0.3924236404
968	0.3923384979
969	0.3922216181
970	0.3921294406
971	0.392034276
972	0.3919285745
973	0.3918703857
974	0.3918202996
975	0.3917431267
976	0.391683159
977	0.3915751025
978	0.3915314501
979	0.3914969651
980	0.3913866304
981	0.3913246749
982	0.3912611454
983	0.391067774
984	0.3910257585
985	0.3909661955
986	0.3908915161
987	0.3908344274
988	0.3907325023
989	0.3906714399
990	0.3905793023
991	0.3904850751
992	0.3903503073
993	0.3902032233
994	0.3900954916
995	0.3899798045
996	0.3899009632
997	0.3898283912
998	0.389770592
999	0.3897338408
